Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Name:all 
Time Period: 2025-01-01 ~ 2025-12-31
Project:Ambient
Lab:all
Include QAQC Sampling: yes
Data was downloaded on March 19 2026 6:50 pm
The data contains the COMP code. 
For Help with COMP code, please check http://www.durhamwaterquality.org/COMPcode.php

Project,Lab Name,Station,Collection Date and Time,Rain in Last 24 Hours,Comp Code,Sample Collection,Air Temperature(C),Sky Condition,Flow Severity,Thalweg,Distance From Thalweg(m),Depth(m),QAQC Sample,Comments
"Ambient","SDWRF","EL7.1SEC","2025-06-10 08:10:00","Yes","G","Direct Dip","22.2","Overcast","3","Yes","","","","",
"Ambient","SDWRF","EL7.1EC","2025-06-10 08:25:00","Yes","G","Direct Dip","22.1","Overcast","3","Yes","","","","",
"Ambient","SDWRF","EL5.5GC","2025-06-10 08:40:00","Yes","G","Direct Dip","22.3","Partly Cloudy","3","Yes","","","","",
"Ambient","SDWRF","EL1.9EC","2025-06-10 09:05:00","Yes","G","Direct Dip","23.1","Partly Cloudy","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-06-10 09:30:00","","","","","","","","","","","Site ID: LC1.1LC Plastic Bottle Lot#240814A  Filter Lot#G24105",
"Ambient","SDWRF","LC1.1LC","2025-06-10 09:45:00","Yes","G","Direct Dip","24.2","Partly Cloudy","3","Yes","","","","Duplicate Site Staff Gage out of water, TKN TP bottle preservative oxodized",
"Ambient","SDWRF","LC2.0RBC","2025-06-10 10:05:00","Yes","G","Direct Dip","24","Partly Cloudy","3","Yes","","","","",
"Ambient","SDWRF","SI1.6SIC","2025-06-10 10:40:00","Yes","G","Direct Dip","25.3","Partly Cloudy","3","Yes","","","","Stage down significantly",
"Ambient","SDWRF","TF6.5RCUT","2025-06-17 08:10:00","Yes","G","Direct Dip","24.9","Partly Cloudy","3","Yes","","","","",
"Ambient","SDWRF","TF4.4TC","2025-06-17 08:40:00","Yes","G","Direct Dip","23.9","Partly Cloudy","3","Yes","","","","",
"Ambient","SDWRF","TF5.1RC","2025-06-17 09:00:00","Yes","G","Direct Dip","23.9","Overcast","3","Yes","","","","",
"Ambient","SDWRF","TF3.4TC","2025-06-17 09:20:00","Yes","G","Direct Dip","24.5","Partly Cloudy","3","Yes","","","","",
